No,Preprocessed Violent toxic words,Sentiment Value
1,@ ss,Negative
2,| hole,Negative
3,| s,Negative
4,2g1c,Negative
5,4r5e,Negative
6,5h1t,Negative
7,a2m,Negative
8,a55,Negative
9,a55hole,Negative
10,abbo,Negative
12,abnormal,Negative
13,abo,Negative
21,abortion,Negative
36,abuse,Negative
75,acrotomophilia,Negative
82,addict,Negative
95,adult,Negative
106,aeolus,Negative
114,africa,Negative
115,african,Negative
135,ahole,Negative
142,alabama hot pocket,Negative
148,alaskan pipeline,Negative
156,alla,Negative
157,allah,Negative
164,alligatorbait,Negative
169,amateur,Negative
179,amcik,Negative
180,american,Negative
184,ammage huththa kaapang,Negative
185,ammata hukapan,Negative
186,ammata hukapan hutta,Negative
189,anal,Negative
190,anal impaler,Negative
191,anal leakage,Negative
192,analannie,Negative
193,analprobe,Negative
194,analsex,Negative
199,andskota,Negative
204,angie,Negative
207,angry,Negative
209,anilingus,Negative
235,anus,Negative
244,apeshit,Negative
260,ar5e,Negative
261,arab,Negative
262,arapan puke,Negative
268,areola,Negative
269,areole,Negative
270,argie,Negative
272,arian,Negative
273,arouse,Negative
277,arrse,Negative
278,arschloch,Negative
279,arse,Negative
280,arsehole,Negative
282,aryan,Negative
285,ash0le,Negative
286,ash0les,Negative
288,asholes,Negative
289,asian,Negative
297,ass,Negative
298,ass | fucker,Negative
299,ass | hole,Negative
300,ass fuck,Negative
301,ass hole,Negative
302,ass monkey,Negative
306,assassination,Negative
308,assbagger,Negative
309,assbang,Negative
310,assbanged,Negative
311,assbangs,Negative
312,assblaster,Negative
313,assclown,Negative
314,asscowboy,Negative
317,assface,Negative
318,assfuck,Negative
319,assfucker,Negative
320,assfukka,Negative
321,assh0le,Negative
322,assh0lez,Negative
323,asshat,Negative
324,assho1e,Negative
325,asshole,Negative
326,assholz,Negative
327,asshore,Negative
329,assjockey,Negative
330,asskiss,Negative
331,asskisser,Negative
332,assklown,Negative
333,asslick,Negative
334,asslicker,Negative
335,asslover,Negative
336,assman,Negative
337,assmaster,Negative
338,assmonkey,Negative
339,assmucus,Negative
340,assmunch,Negative
341,assmuncher,Negative
343,asspacker,Negative
344,asspirate,Negative
345,asspuppies,Negative
346,assrammer,Negative
347,assranger,Negative
349,asswhole,Negative
350,asswhore,Negative
351,asswipe,Negative
352,asswipes,Negative
357,athletesfoot,Negative
379,australian,Negative
382,auto erotic,Negative
385,autoerotic,Negative
387,avajathaka balla,Negative
409,ayir,Negative
410,azazel,Negative
411,azz,Negative
412,azzhole,Negative
413,b | ch,Negative
414,b | tch,Negative
415,b00b,Negative
416,b00bs,Negative
417,b17ch,Negative
418,b1tch,Negative
420,babe,Negative
421,babeland,Negative
422,baby,Negative
423,baby batter,Negative
424,baby juice,Negative
431,backdoor,Negative
432,backdoorman,Negative
434,backseat,Negative
444,badfuck,Negative
454,ball,Negative
455,ball gag,Negative
456,ball gravy,Negative
457,ball kick,Negative
458,ball lick,Negative
459,ball sack,Negative
460,ball suck,Negative
461,ballbag,Negative
462,balli,Negative
463,ballicker,Negative
464,ballige putha,Negative
465,ballsack,Negative
468,bang,Negative
469,bang | 's | box,Negative
470,bangbros,Negative
471,banger,Negative
475,baptist,Negative
482,bareback,Negative
483,barely legal,Negative
484,barelylegal,Negative
485,barenaked,Negative
486,barf,Negative
487,barface,Negative
488,barfface,Negative
495,bassterds,Negative
496,bast,Negative
497,bastard,Negative
498,bastard dog,Negative
499,bastardo,Negative
501,bastardz,Negative
502,basterds,Negative
503,basterdz,Negative
504,bastinado,Negative
508,bawdy,Negative
510,bazongas,Negative
511,bazooms,Negative
512,bbw,Negative
513,bdsm,Negative
514,beaner,Negative
515,beaners,Negative
516,beardedclam,Negative
518,beast,Negative
519,beastality,Negative
520,beastial,Negative
521,beastiality,Negative
523,beat,Negative
524,beat |,Negative
525,beatch,Negative
526,beater,Negative
530,beatoff,Negative
531,beatyourmeat,Negative
537,beaver,Negative
538,beaver cleaver,Negative
539,beaver lip,Negative
543,beef curtain,Negative
544,beer,Negative
545,beeyotch,Negative
565,bellend,Negative
570,bello ge puthaa,Negative
581,beotch,Negative
593,bestiality,Negative
613,bi,Negative
614,bi | ch,Negative
615,bi | sexual,Negative
616,bi curious,Negative
617,bi sexual,Negative
618,bi7ch,Negative
622,biatch,Negative
623,bible,Negative
626,bicurious,Negative
627,bid | word,Negative
630,big black,Negative
631,big breast,Negative
632,big knocker,Negative
633,big tit,Negative
634,bigass,Negative
635,bigbastard,Negative
636,bigbutt,Negative
637,bigger,Negative
641,bigtits,Negative
643,bimbo,Negative
646,birdlock,Negative
647,bisexual,Negative
